school_name,area,address,level,bus,AddmissionLast Date
Nanyang Girls' High School,West,"2 Linden Drive, Bukit Timah, S(288683)",Secondry,66;67;74;151;154;156;157;170;171;174;852;961,09-09-2021
,,,,,
St. Anthony'S Primary School,West,"30 Bukit Batok St 32, Bukit Batok, S(659401)",Primary,945,08-08-2021
,,,,,
,,,,,
,,,,,
,,,,,
Pei Chun Public School,South,"580 Toa Payoh East, Toa Payoh, S(319133)",Primary,232;57,2021-08-08
National Junior College,South,"37 Hillcrest Road, Bukit Timah, S(288913)",Mixed Level,151;154;156;157;170;170X;171;174;66;67;67A;67W;74;852;961;961C,09-09-2021
Admiralty Secondary School,North,"31 Woodlands Crescent, Woodlands, S(737916)",Secondry,904,09-09-2023
Northoaks Primary School,North,"61 Sembawang Drive, Sembawang, S(757622)",Primary,962,2021-08-08
Nanyang Junior College,South,"128 Serangoon Avenue 3, Serangoon, S(556111)",Junior College,22;24;53;73;133;105;135;136;156;853,01-01-2021
,,,,,
Hwa Chong Institution,West,"661 Bukit Timah Road, Bukit Timah, S(269734)",Mixed Level,66;67;74;151;154;156;157;170;171;174;852;961,09-09-2021
Seng Kang Primary School,North,"21 Compassvale Walk, Seng Kang, S(545166)",Primary,27;80;82;83;86;87;88;89;119;156;163;371;372;965,09-09-2021
Dunman Secondary School,East,"21 Tampines Street 45, Tampines, S(529093)",Secondry,28;29;293,2023-09-09
Pasir Ris Secondary School,East,"390 Tampines Street 21, Tampines, S(529400)",Secondary,3;8;10;18;19;22;23;28;29;31;37;38;39;65;67;69;72;81;291;292;293;15;21;27;168,09-09-2021
Christ Church Secondry School,North,"20 Woodlands Drive 17, Woodlands, S(737924)",Secondary,901,2021-09-08
Mayflower Primary School,South,"200 Ang Mo Kio Ave 5, Ang Mo Kio, S(569878)",Primary,13;86;138;162;269;851;852;853,2021-09-09
Jurongville Secondary School,West,"202 Jurong East Avenue 1, Jurong East, S(609790)",Secondary,98;99;157;185;187;198;334;502,2023-14-05
,,,,,
,,,,,
Anglo-Chinese School (Junior),South,"16 Winstedt Road, Central, S(227988)",Primary,5;54;124;128;143;162;162M;167;171;700;700A,2021-09-08
Jing Shan Primary SCHOol,South,"5 Ang Mo Kio St 52, Ang Mo Kio, S(569228)",Primary,265,2021-07-09
,,,,,
,,,,,
macpherson Primary School,East,"2 Mattar Road, Geylang, S(387724)",Primary,40;63;65;66;135;154;155,
Boon Lay Garden Primary School,West,"20 Boon Lay Drive, Jurong West, S(649930)",Primary,30;99;154;178;180;187;240;246,
,,,,,
Maha Bodhi School,East,"10 Ubi Avenue 1, Geylang, S(408931)",Primary,8;15;22;25;51;55;61;63;63M;65;66;93;94;854,
,,,,,
De La Salle School,West,"11 Choa Chu Kang St 52, Choa Chu Kang, S(689285)",Primary,302;979,
Ping Yi Secondary School,East,"61 Chai Chee Street, Bedok, S(468980)",Secondary,26;222;222P;2;7;24;25;28;30;30E;32;33;40;67;229;401;854;45;60;87,
Clementi Primary School,West,"8 Clementi Ave 3, Clementi, S(129903)",Primary,,
Geylang Methodist School (Primary),East,"4 Geylang East Central, Geylang, S(389706)",Primary,80;134;155,
Cantonment Primary School,South,"1 Cantonment Close, Bukit Merah, S(88256)",Primary,,
GAN ENG SENG PRIMARY SCHOOL,South,"100 Redhill Close, Bukit Merah, S(158901)",Primary,14;63;147;196;197;855;961,
,,,,,
,,,,,
Endeavour Primary School,North,"10 Admiralty Link, Sembawang, S(757521)",Primary,859;962,
,,,,,
Ahmad Ibrahim Primary School,North,"10 Yishun Street 11, Yishun, S(768643)",Primary,812;169;804;965;117;883,
,,,,,
,,,,,
Bukit Panjang Govt. High School,West,"7 Choa Chu Kang Ave 4, Choa Chu Kang, S(689809)",Secondary,300;983,
Kong Hwa School,East,"350 Guillemard Road, Geylang, S(399772)",Primary,7;70;70M;197,
,,,,,
Huamin Primary School,North,"530 Yishun Ring Road, Yishun, S(768680)",Primary,806;804,
Evergreen Secondary School,North,"11 Woodlands Street 83, Woodlands, S(738489)",Secondary,911,
Chij (Kellock),South,"121 Queensway, Bukit Merah, S(149059)",Primary,32;93;100;105;111;122;123;145;147;153;186;195;196;198;855;961;970,
,,,,,
,,,,,
,,,,,
Angsana Primary School,East,"3 Tampines Street 22, Tampines, S(529366)",Primary,8;17;18;28;34;39;59;518;292,
River Valley High School,West,"6 Boon Lay Avenue, Jurong West, S(649961)",Mixed Level,99;157;172;174;174E;198;502;502A;SS4;NR5,
